Block_Device File Inode Blocks
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/nb/libEGL.so" 1192 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/nb/libutils.so" 929 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_Smarti5G_band_config_update_CMCC.tlv" 583 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_ATT_cat3_LTE_FW_enabled.tlv" 652 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libmmgr_cnx.so" 1309 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_call_audio_latency_enable.tlv" 687 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov2680-i8170_0_coho.aiqb" 137 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libradio.so" 1160 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libGLES_trace.so" 787 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/nb/libm.so" 918 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libstagefright_soft_amrenc_mdp.so" 1053 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov2680b-i8889_0_coho.aiqb" 145 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7260_V2_dataonly_NA_EU/support_rril_7260_dataonly_overlay.xml" 404 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/aware/GestureModel/lm/dict" 236 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/graph_descriptor.xml" 316 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/sensorhubd" 108 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libstagefright_avc_common.so" 876 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_7160_Audio_calib_param.tlv" 625 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_Remove_Audio_tuning_FIR_IIR.tlv" 669 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/CONFIG_5_GNSS_2.2_p.cfg" 268 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libart.so" 1099 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_agps_blanking_cht_7260.tlv" 678 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_band_config_update_NA_EU.tlv" 685 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libtask_executor.so" 1057 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/clbltfne9_img_cbk.rtl" 1229 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libsurfaceflinger.so" 1179 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libprotobuf-cpp-lite.so" 1159 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libstagefright_soft_amrenc_mdp.so" 1334 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_sim_detection_activate.tlv" 615 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/XMM6360_CONF_1.xml" 334 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libbt-vendor.so" 1260 
/dev/block/mmcblk0p8 179:8 "/vendor/app/com.intel.awareness.plugin.mofd/com.intel.awareness.plugin.mofd.apk" 61 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_2g_multislot_power.tlv" 621 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7160_conf_5.xml" 453 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_CHT_T4_Vamos_Level.tlv" 574 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_merrifield_XMM_7160.cfg" 371 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libhardware_legacy.so" 831 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libcamera_client.so" 814 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/docomo_tel_disable_duration.tlv" 722 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7262_V2_CMCC_dataonly/lte_tdd_coexistence_config.xml" 420 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/mts" 98 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libgnssosa.so" 1274 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov2680.aiqb" 144 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00hm2051.aiqb" 119 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libigdbcl.so" 1285 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_CHT_T4_Vamos_Level.tlv" 662 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/librapid-ril-core.so" 1326 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_moorefield_XMM_7260_DSDA.cfg" 377 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libfilterpack_imageproc.so" 1123 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libpdfium.so" 1154 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libigdrcl.so" 1289 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/CONFIG_5_GNSS_2.2.cfg" 266 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov5648-ecs210a_0_coho.aiqb" 147 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/librapid-ril-util.so" 1327 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/liblog.so" 841 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_moorefield_XMM_7160_M2.cfg" 375 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/permissions/com.intel.camera2.extensions.xml" 324 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libOpenCL.so" 957 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libfilterfw.so" 825 
/dev/block/mmcblk0p8 179:8 "/vendor/app/VppSettings/VppSettings.apk" 55 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libpvl_face_recognition_with_db.so" 1320 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/vlv_pipe_a.txt" 768 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libmamgr-xmm.so" 1017 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libpvl_eye_detection.so" 1034 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libwvdrm_L1.so" 1064 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/DptfPolicyEmergencyCallMode.so" 1073 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_7160_RF_antenna_switch_command.tlv" 541 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libemoji.so" 823 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/vlv_dpio_phy.txt" 765 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7360_V2_CMCC_PR2/7360_Hw_Sw_Revision_overlay.xml" 432 
